date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,actual_snow,average_snow,snow_depth,sea_pressure,wind_speed,max_wind_speed,max_gust_speed,visibility
2015-1-1,1,-3,4,-2,4,-20,16,1918,1966,0.00,3.05,5.21,0.00,0.51,0.00,1018,11,27,50,16
2015-1-2,4,2,6,-2,4,-16,20,1918,1876,0.00,3.05,4.88,0.00,0.51,0.00,1023,11,24,40,16
2015-1-3,3,1,6,-2,4,-20,17,1879,2000,18.03,3.05,6.15,0.0,0.51,0.00,1030,10,19,29,7
2015-1-4,9,5,13,-3,4,-19,18,1918,1950,7.62,3.05,6.93,0.00,0.51,0.00,1012,10,47,74,9
2015-1-5,2,-6,9,-3,3,-20,17,1904,1993,0.00,3.05,3.81,0.00,0.51,0.00,1020,17,39,61,16
2015-1-6,-6,-7,-6,-3,3,-18,22,1896,2007,1.27,3.30,4.19,1.27,0.51,0.00,1024,7,23,39,9
2015-1-7,-9,-13,-5,-3,3,-15,17,2014,1907,0.00,3.05,6.78,0.00,0.76,2.54,1017,20,35,63,16
2015-1-8,-9,-13,-6,-3,3,-16,18,1968,1998,0.00,2.79,3.17,0.00,0.51,0.0,1027,14,29,50,16
2015-1-9,-3,-7,1,-3,3,-18,17,1968,1937,1.78,3.30,3.61,3.81,0.51,0.00,1018,14,34,48,10
2015-1-10,-7,-9,-5,-3,3,-21,15,1875,1876,0.00,3.05,4.57,0.00,0.76,2.54,1031,13,29,40,16
2015-1-11,-2,-8,3,-3,3,-16,17,1968,1975,0.00,3.05,3.71,0.00,0.51,2.54,1036,10,23,39,16
2015-1-12,3,2,4,-3,3,-16,18,1981,2017,9.14,3.30,5.97,0.0,0.51,0.0,1024,6,19,32,8
2015-1-13,-3,-8,2,-3,3,-19,20,1914,1932,0.00,3.05,3.66,0.00,0.51,0.00,1033,14,29,40,16
2015-1-14,-4,-9,0,-3,3,-20,21,1914,1932,0.00,3.05,5.23,0.00,0.51,0.00,1029,10,23,27,16
2015-1-15,-1,-4,2,-3,3,-17,19,1957,1932,0.00,3.30,3.23,0.00,0.76,0.00,1018,8,24,32,16
2015-1-16,0,-7,6,-3,3,-17,14,2004,1995,0.00,3.05,3.66,0.00,0.51,0.00,1014,16,34,52,15
2015-1-17,-4,-8,0,-3,3,-18,17,1977,1990,0.00,3.05,3.45,0.00,0.51,0.00,1027,10,23,37,16
2015-1-18,3,-1,6,-3,3,-17,18,1982,1990,53.34,2.79,5.33,0.00,0.51,0.00,1012,6,16,32,6
2015-1-19,4,2,6,-3,3,-19,17,1875,1951,0.00,3.05,6.07,0.00,0.51,0.00,1009,12,26,53,16
2015-1-20,2,0,4,-3,3,-17,16,1994,2006,0.00,2.79,3.58,0.00,0.76,0.00,1013,9,21,32,16
2015-1-21,-1,-4,2,-3,3,-18,17,1985,2006,0.00,3.05,8.76,0.00,0.51,0.00,1020,7,16,24,16
2015-1-22,2,-1,4,-3,3,-17,16,1888,1959,0.00,3.05,4.32,0.00,0.51,0.00,1023,9,23,34,11
